low_bound,high_bound,tortuosity,total_res
1,6,1.0666666666666667,43
2,4,0.9666666666666667,59
3,9,0.9666666666666667,108
0,7,1.5,19
2,6,0.9666666666666667,68
1,5,1.0333333333333334,40
4,10,0.9666666666666667,135
0,8,1.0666666666666667,21
2,5,0.9666666666666667,65
0,1,0.9666666666666667,0
0,3,1.3666666666666667,2
4,8,0.9666666666666667,127
5,8,0.9666666666666667,155
2,6,1.0333333333333334,70
5,10,0.9666666666666667,161
1,2,0.9666666666666667,29
5,6,0.9666666666666667,145
5,9,0.9666666666666667,156
1,4,0.9666666666666667,35
3,6,0.9666666666666667,95
3,5,0.9666666666666667,90
1,7,1.0,45
1,4,0.9666666666666667,38
1,3,0.9666666666666667,32
2,4,0.9666666666666667,60
0,10,1.3666666666666667,30
0,10,1.5,32
1,6,1.0333333333333334,45
3,6,0.9666666666666667,93
4,8,0.9666666666666667,129
3,4,0.9666666666666667,87
3,5,0.9666666666666667,89
3,9,0.9666666666666667,104
1,3,0.9666666666666667,31
2,10,0.9666666666666667,87
0,10,1.1,24
3,7,0.9666666666666667,100
4,5,0.9666666666666667,116
1,9,1.0333333333333334,50
0,9,1.3,24
0,2,1.7,0
2,6,0.9666666666666667,72
0,4,1.3333333333333333,5
2,5,0.9666666666666667,63
5,6,0.9666666666666667,145
5,6,0.9666666666666667,145
5,6,0.9666666666666667,145
3,7,0.9666666666666667,95
5,7,0.9666666666666667,149
2,6,0.9666666666666667,67
5,7,0.9666666666666667,149
4,9,0.9666666666666667,130
2,6,0.9666666666666667,71
3,5,0.9666666666666667,89
3,8,0.9666666666666667,103
5,6,0.9666666666666667,145
1,6,1.0333333333333334,46
1,9,1.0333333333333334,60
1,10,1.1,61
2,4,0.9666666666666667,61
2,5,0.9666666666666667,64
1,10,1.0,60
4,10,0.9666666666666667,137
0,4,1.2666666666666666,8
3,6,0.9666666666666667,95
1,9,1.0333333333333334,50
0,9,1.1333333333333333,21
1,10,1.0666666666666667,59
5,6,0.9666666666666667,145
1,3,0.9666666666666667,33
5,9,0.9666666666666667,156
2,3,0.9666666666666667,58
4,9,0.9666666666666667,130
5,7,0.9666666666666667,148
1,9,1.0333333333333334,61
2,10,1.0,82
3,4,0.9666666666666667,87
5,6,0.9666666666666667,145
5,7,0.9666666666666667,148
1,3,0.9666666666666667,32
2,5,0.9666666666666667,64
2,3,0.9666666666666667,58
3,4,0.9666666666666667,87
2,6,0.9666666666666667,67
5,7,0.9666666666666667,146
3,7,0.9666666666666667,97
2,4,0.9666666666666667,61
0,2,0.9666666666666667,0
3,10,0.9666666666666667,111
2,4,0.9666666666666667,61
1,10,1.1,61
1,2,0.9666666666666667,29
1,3,0.9666666666666667,30
2,9,0.9666666666666667,88
1,10,1.0666666666666667,57
4,9,0.9666666666666667,132
5,9,0.9666666666666667,157
5,9,0.9666666666666667,157
2,7,0.9666666666666667,71
2,9,0.9666666666666667,83
1,9,1.1333333333333333,57
3,5,0.9666666666666667,90
0,9,1.5666666666666667,26
2,3,0.9666666666666667,58
2,3,0.9666666666666667,58
0,4,1.1666666666666667,4
2,5,0.9666666666666667,63
5,8,0.9666666666666667,150
0,3,1.3666666666666667,1
0,2,1.4666666666666666,0
4,10,0.9666666666666667,136
1,6,1.0,43
2,8,0.9666666666666667,79
4,6,0.9666666666666667,119
0,2,1.5666666666666667,0
5,9,0.9666666666666667,156
0,6,1.1333333333333333,8
4,5,0.9666666666666667,116
3,9,0.9666666666666667,111
4,6,0.9666666666666667,118
0,7,1.4333333333333333,13
1,10,1.0333333333333334,60
1,10,1.0,57
0,10,1.1666666666666667,29
1,9,1.1333333333333333,56
2,10,1.0,85
3,5,0.9666666666666667,90
2,3,0.9666666666666667,58
4,10,0.9666666666666667,136
5,6,0.9666666666666667,145
5,6,0.9666666666666667,145
1,6,1.0333333333333334,39
4,9,0.9666666666666667,129
5,7,0.9666666666666667,146
0,1,0.9666666666666667,0
3,10,0.9666666666666667,113
5,9,0.9666666666666667,152
4,9,0.9666666666666667,134
4,5,0.9666666666666667,116
2,9,1.0,82
3,6,0.9666666666666667,95
4,7,0.9666666666666667,123
0,8,1.2,20
2,6,0.9666666666666667,67
1,3,0.9666666666666667,30
1,8,1.0333333333333334,52
4,6,0.9666666666666667,118
5,6,0.9666666666666667,145
4,6,0.9666666666666667,119
2,8,1.0333333333333334,80
2,10,1.0,85
3,7,0.9666666666666667,99
5,6,0.9666666666666667,145
3,6,0.9666666666666667,95
4,9,0.9666666666666667,133
2,10,1.0,81
2,5,1.0,66
0,1,0.9666666666666667,0
3,5,0.9666666666666667,89
4,6,0.9666666666666667,118
5,6,0.9666666666666667,145
1,9,1.0333333333333334,56
2,9,0.9666666666666667,85
3,6,0.9666666666666667,95
5,6,0.9666666666666667,145
5,8,0.9666666666666667,152
5,8,0.9666666666666667,154
4,8,0.9666666666666667,126
0,1,0.9666666666666667,0
0,5,1.6,6
1,5,1.0,38
1,6,1.0,43
3,9,0.9666666666666667,108
1,4,0.9666666666666667,37
5,7,0.9666666666666667,147
1,10,1.0,59
4,5,0.9666666666666667,116
2,9,0.9666666666666667,79
5,8,0.9666666666666667,152
1,4,0.9666666666666667,34
4,9,0.9666666666666667,133
3,10,0.9666666666666667,114
0,3,1.9666666666666666,2
0,6,1.3333333333333333,14
0,9,1.1333333333333333,29
3,5,0.9666666666666667,91
1,4,0.9666666666666667,35
4,6,0.9666666666666667,119
3,6,0.9666666666666667,91
1,4,1.0,35
2,9,1.0333333333333334,85
2,8,0.9666666666666667,71
3,10,0.9666666666666667,108
3,8,0.9666666666666667,101
3,8,0.9666666666666667,103
2,3,0.9666666666666667,58
0,3,1.6,3
5,10,0.9666666666666667,162
2,3,0.9666666666666667,58
4,8,0.9666666666666667,127
4,7,0.9666666666666667,121
0,10,1.1,30
2,8,0.9666666666666667,79
5,8,0.9666666666666667,151
4,10,0.9666666666666667,142
2,4,0.9666666666666667,60
3,7,0.9666666666666667,99
2,9,0.9666666666666667,80
0,4,1.1666666666666667,4
2,9,1.0,83
1,6,1.0,42
3,10,0.9666666666666667,114
5,7,0.9666666666666667,146
0,9,1.4,27
2,5,0.9666666666666667,66
0,7,1.3666666666666667,15
4,5,0.9666666666666667,116
3,6,0.9666666666666667,93
4,5,0.9666666666666667,116
3,10,0.9666666666666667,120
1,8,1.0,51
3,6,0.9666666666666667,96
5,10,0.9666666666666667,163
3,4,0.9666666666666667,87
5,7,0.9666666666666667,148
3,5,0.9666666666666667,89
1,6,1.0,43
0,3,1.4333333333333333,0
2,8,1.0,81
3,10,0.9666666666666667,114
2,10,0.9666666666666667,90
1,10,1.0333333333333334,65
1,9,1.0333333333333334,56
3,5,0.9666666666666667,90
3,9,0.9666666666666667,109
1,5,0.9666666666666667,40
0,5,1.4666666666666666,8
1,6,1.0333333333333334,46
2,7,0.9666666666666667,70
4,7,0.9666666666666667,121
3,10,0.9666666666666667,108
2,9,0.9666666666666667,82
5,9,0.9666666666666667,152
2,4,0.9666666666666667,62
0,1,0.9666666666666667,0
2,9,1.0,82
0,6,1.2,10
1,2,0.9666666666666667,29
5,7,0.9666666666666667,147
4,7,0.9666666666666667,124
2,3,0.9666666666666667,58
5,10,0.9666666666666667,160
2,5,0.9666666666666667,64
3,9,0.9666666666666667,108
3,6,0.9666666666666667,93
5,6,0.9666666666666667,145
0,8,1.4,17
1,4,0.9666666666666667,34
5,9,0.9666666666666667,154
1,10,1.0333333333333334,60
0,6,1.4,14
0,8,1.1666666666666667,21
0,7,1.2333333333333334,13
2,8,1.0,79
5,6,0.9666666666666667,145
5,10,0.9666666666666667,163
0,5,1.0666666666666667,13
5,6,0.9666666666666667,145
5,10,0.9666666666666667,161
2,4,0.9666666666666667,61
4,7,0.9666666666666667,124
1,2,0.9666666666666667,29
1,2,0.9666666666666667,29
5,7,0.9666666666666667,148
3,8,0.9666666666666667,103
0,4,1.2333333333333334,6
4,9,0.9666666666666667,127
5,9,0.9666666666666667,155
5,7,0.9666666666666667,146
4,7,0.9666666666666667,123
1,4,1.0,36
0,3,1.6666666666666667,2
1,2,0.9666666666666667,29
2,5,0.9666666666666667,66
5,8,0.9666666666666667,151
3,7,0.9666666666666667,98
4,6,0.9666666666666667,119
2,7,1.0,75
4,10,0.9666666666666667,136
4,7,0.9666666666666667,121
1,9,1.0,58
5,10,0.9666666666666667,163
0,2,1.0666666666666667,0
3,7,0.9666666666666667,98
5,10,0.9666666666666667,158
0,7,1.1666666666666667,18
4,5,0.9666666666666667,116
4,9,0.9666666666666667,130
0,4,1.8,6
1,5,0.9666666666666667,40
0,2,1.2333333333333334,0
1,9,1.0666666666666667,52
0,2,1.4666666666666666,0
5,10,0.9666666666666667,160
2,7,0.9666666666666667,74
2,7,0.9666666666666667,74
2,8,1.0,80
4,6,0.9666666666666667,120
5,6,0.9666666666666667,145
0,5,1.1666666666666667,9
5,8,0.9666666666666667,151
0,10,1.3333333333333333,25
5,6,0.9666666666666667,145
5,10,0.9666666666666667,161
1,9,1.0666666666666667,54
2,8,1.0333333333333334,81
0,1,1.0,0
2,9,0.9666666666666667,80
5,10,0.9666666666666667,160
2,6,0.9666666666666667,72
4,6,0.9666666666666667,119
3,5,0.9666666666666667,90
2,9,0.9666666666666667,86
1,2,0.9666666666666667,29
0,5,1.2333333333333334,4
0,2,1.0333333333333334,0
1,9,0.9666666666666667,59
5,8,0.9666666666666667,153
3,9,0.9666666666666667,108
2,10,1.0333333333333334,87
2,4,0.9666666666666667,61
5,6,0.9666666666666667,145
1,6,1.0,42
1,5,1.1,39
2,8,1.0,72
2,6,0.9666666666666667,67
5,8,0.9666666666666667,148
3,9,0.9666666666666667,108
5,10,0.9666666666666667,160
4,10,0.9666666666666667,137
4,10,0.9666666666666667,137
3,10,0.9666666666666667,106
1,7,1.0,56
1,7,1.0,46
3,8,0.9666666666666667,100
3,10,0.9666666666666667,113
2,7,0.9666666666666667,74
5,7,0.9666666666666667,149
2,7,0.9666666666666667,73
3,8,0.9666666666666667,103
5,9,0.9666666666666667,156
4,10,0.9666666666666667,141
4,6,0.9666666666666667,119
4,6,0.9666666666666667,118
2,3,0.9666666666666667,58
5,6,0.9666666666666667,145
5,8,0.9666666666666667,151
2,10,0.9666666666666667,84
3,10,0.9666666666666667,109
3,6,0.9666666666666667,92
3,6,0.9666666666666667,95
1,2,0.9666666666666667,29
0,7,1.2666666666666666,18
4,6,0.9666666666666667,119
3,4,0.9666666666666667,87
0,10,1.0666666666666667,32
4,10,0.9666666666666667,132
1,3,0.9666666666666667,32
1,2,0.9666666666666667,29
3,10,0.9666666666666667,112
1,3,0.9666666666666667,31
4,5,0.9666666666666667,116
0,4,1.3333333333333333,6
0,6,1.3666666666666667,11
1,7,1.0666666666666667,44
0,8,1.1333333333333333,22
3,5,0.9666666666666667,89
0,4,1.5,3
1,10,1.1,54
4,5,0.9666666666666667,116
2,4,0.9666666666666667,61
1,7,1.0,45
4,9,0.9666666666666667,128
1,9,1.0,57
0,8,1.4,16
0,3,1.2666666666666666,1
0,6,1.3333333333333333,14
5,7,0.9666666666666667,148
0,7,1.4666666666666666,17
4,8,0.9666666666666667,130
1,9,1.0,52
3,7,0.9666666666666667,99
3,10,0.9666666666666667,105
3,10,0.9666666666666667,112
2,6,0.9666666666666667,69
3,6,0.9666666666666667,93
5,9,0.9666666666666667,155
5,6,0.9666666666666667,145
5,7,0.9666666666666667,147
1,3,0.9666666666666667,32
1,7,0.9666666666666667,48
2,10,1.0333333333333334,82
0,7,1.1666666666666667,16
1,10,1.0333333333333334,55
2,4,0.9666666666666667,60
5,10,0.9666666666666667,159
4,7,0.9666666666666667,125
4,8,0.9666666666666667,127
4,9,0.9666666666666667,132
5,8,0.9666666666666667,153
0,6,1.2,15
4,7,0.9666666666666667,125
1,9,1.0666666666666667,54
1,3,0.9666666666666667,30
0,4,1.2,5
1,6,1.0333333333333334,44
2,4,0.9666666666666667,59
0,1,0.9666666666666667,0
5,6,0.9666666666666667,145
0,7,1.5333333333333334,15
4,9,0.9666666666666667,134
1,6,1.0666666666666667,41
2,3,0.9666666666666667,58
5,10,0.9666666666666667,161
2,7,0.9666666666666667,69
3,6,0.9666666666666667,94
5,10,0.9666666666666667,161
3,7,1.0,101
5,8,0.9666666666666667,151
3,9,0.9666666666666667,106
3,10,0.9666666666666667,111
0,6,1.2666666666666666,13
1,8,1.1,51
1,9,1.1,50
2,6,0.9666666666666667,69
2,4,0.9666666666666667,60
2,8,0.9666666666666667,74
3,7,0.9666666666666667,96
5,6,0.9666666666666667,145
1,5,1.0,41
2,7,0.9666666666666667,70
4,7,0.9666666666666667,124
1,2,0.9666666666666667,29
4,10,0.9666666666666667,139
2,7,0.9666666666666667,74
3,8,0.9666666666666667,103
5,8,0.9666666666666667,153
3,9,0.9666666666666667,109
1,8,1.0,51
3,4,0.9666666666666667,87
3,10,0.9666666666666667,112
2,9,0.9666666666666667,79
1,7,1.1333333333333333,49
2,10,0.9666666666666667,82
5,9,0.9666666666666667,158
2,8,1.0333333333333334,76
1,4,0.9666666666666667,35
3,4,0.9666666666666667,87
1,10,1.0666666666666667,57
5,10,0.9666666666666667,157
1,3,0.9666666666666667,31
5,9,0.9666666666666667,154
1,3,0.9666666666666667,31
4,6,0.9666666666666667,118
5,6,0.9666666666666667,145
3,4,0.9666666666666667,87
3,6,0.9666666666666667,94
0,9,1.2,25
0,10,1.2333333333333334,32
0,4,1.1666666666666667,7
1,8,1.0,51
2,10,1.0666666666666667,89
0,5,1.0333333333333334,10
3,7,0.9666666666666667,100
2,4,0.9666666666666667,61
3,10,0.9666666666666667,111
2,10,1.0666666666666667,87
0,2,1.1,0
3,4,0.9666666666666667,87
1,4,0.9666666666666667,37
2,6,0.9666666666666667,70
4,6,0.9666666666666667,120
3,4,0.9666666666666667,87
5,10,0.9666666666666667,160
5,10,0.9666666666666667,159
1,10,1.0333333333333334,58
3,6,0.9666666666666667,93
2,6,0.9666666666666667,68
4,6,0.9666666666666667,120
2,10,0.9666666666666667,90
2,10,1.0333333333333334,87
5,7,0.9666666666666667,145
5,8,0.9666666666666667,152
